,state,county,form,prev18,qual18
0,California,Alameda,1.02,8.3,3.0
1,California,Alpine,0.69,10.8,8.0
2,California,Amador,1.57,9.5,6.0
3,California,Butte,1.95,10.1,20.0
4,California,Calaveras,1.56,9.8,10.0
5,California,Colusa,1.86,9.7,0.0
6,California,Contra Costa,1.13,9.0,2.0
7,California,Del Norte,1.3,10.5,0.0
8,California,El Dorado,1.43,9.2,36.0
9,California,Fresno,1.41,10.2,67.0
10,California,Glenn,1.66,10.1,3.0
11,California,Humboldt,0.94,10.5,0.0
12,California,Imperial,1.11,9.3,20.0
13,California,Inyo,0.6,9.7,24.0
14,California,Kern,1.14,10.2,96.0
15,California,Kings,1.44,9.7,29.0
16,California,Lake,1.98,10.5,1.0
17,California,Lassen,0.82,9.7,10.0
18,California,Los Angeles,1.3,8.5,90.0
19,California,Madera,1.5,10.1,16.0
20,California,Marin,0.68,8.7,0.0
21,California,Mariposa,1.78,9.8,31.0
22,California,Mendocino,1.08,10.2,0.0
23,California,Merced,1.38,10.0,21.0
24,California,Modoc,0.8,10.4,5.0
25,California,Mono,0.5,9.2,3.0
26,California,Monterey,0.89,9.2,0.0
27,California,Napa,1.34,8.8,0.0
28,California,Nevada,1.48,9.3,22.0
29,California,Orange,1.4,8.1,10.0
30,California,Placer,1.57,9.0,43.0
31,California,Plumas,1.09,9.7,13.0
32,California,Riverside,1.23,9.2,120.0
33,California,Sacramento,1.67,10.0,19.0
34,California,San Benito,0.95,9.1,1.0
35,California,San Bernardino,1.01,9.6,144.0
36,California,San Diego,1.11,8.6,30.0
37,California,San Francisco,0.79,7.6,0.0
38,California,San Joaquin,1.35,9.4,8.0
39,California,San Luis Obispo,0.94,9.3,6.0
40,California,San Mateo,0.74,7.6,0.0
41,California,Santa Barbara,0.89,9.3,0.0
42,California,Santa Clara,1.13,7.5,1.0
43,California,Santa Cruz,1.04,9.3,0.0
44,California,Shasta,1.71,10.2,16.0
45,California,Sierra,0.91,9.8,13.0
46,California,Siskiyou,1.09,10.3,4.0
47,California,Solano,1.29,9.6,1.0
48,California,Sonoma,1.07,9.2,0.0
49,California,Stanislaus,1.33,10.0,27.0
50,California,Sutter,1.69,9.6,18.0
51,California,Tehama,1.58,10.5,14.0
52,California,Trinity,1.1,10.5,4.0
53,California,Tulare,1.53,10.1,92.0
54,California,Tuolumne,1.14,9.7,21.0
55,California,Ventura,0.95,8.9,14.0
56,California,Yolo,1.68,9.3,2.0
57,California,Yuba,1.73,10.2,14.0
